timestamp source destination sourceport destport databytes
0.416754 1 2 1223 2046 0
0.418705 2 3 1985 20 0
0.420657 4 5 119 3849 5
0.426512 3 2 20 1985 512
0.427488 3 2 20 1985 512
0.428464 3 2 20 1985 512
0.428465 6 2 1090 2023 0
0.429440 3 2 20 1985 512
0.430416 2 6 2023 1090 512
0.432368 7 8 119 3621 5
0.434320 9 2 4269 6001 64
0.448960 2 9 6001 4269 32
0.448961 10 2 1202 2029 0
0.450912 2 10 2029 1202 512
0.454816 5 4 3849 119 512
0.455793 5 4 3849 119 207
0.461648 11 5 119 3200 5
0.469456 12 2 1064 20 0
0.470432 2 12 20 1064 256
0.474337 13 14 17873 80 0
0.485072 5 11 3200 119 512
0.486048 5 11 3200 119 512
0.486049 5 11 3200 119 121
0.488976 15 2 4472 80 0
0.490928 2 15 80 4472 256
0.491904 2 15 80 4472 256
0.494832 16 5 119 3853 0
0.502640 17 18 2726 25 0
0.504592 19 17 1758 25 512
0.506544 20 17 3173 25 457
0.507520 21 22 1408 80 0
0.510448 22 21 80 1408 512
0.512400 22 21 80 1408 512
0.516305 23 24 3435 80 0
0.524112 23 24 3435 80 227
0.529969 8 7 3621 119 0
0.541680 11 5 119 3200 0
0.542656 25 2 1069 1952 0
0.542657 5 11 3200 119 3
0.542658 9 2 4269 6001 0
0.544608 2 25 1952 1069 512
0.566080 5 26 119 4495 0
0.569984 27 28 1046 25 0
0.589504 24 23 80 3435 0
0.591456 24 23 80 3435 0
0.594384 4 5 119 3849 0
0.595360 5 4 3849 119 3
0.597312 29 30 3001 1296 60
0.598288 11 5 119 3200 0
0.599264 31 2 1263 1996 0
0.600242 32 22 1879 80 0
0.601216 2 31 1996 1263 512
0.603170 22 32 80 1879 0
0.618784 2 3 1985 20 0
0.624640 3 2 20 1985 512
0.625616 3 2 20 1985 512
0.626592 3 2 20 1985 512
0.626593 3 2 20 1985 512
0.627568 33 2 1167 2005 0
0.627569 17 34 25 40620 52
0.630496 2 33 2005 1167 512
0.635376 24 23 80 3435 536
0.636352 24 23 80 3435 50
0.638304 24 23 80 3435 536
0.638305 24 23 80 3435 0
0.639280 24 23 80 3435 50
0.640256 24 23 80 3435 0
0.652944 35 2 1076 1964 0
0.654896 2 35 1964 1076 212
0.655872 36 2 6905 20 0
0.655873 37 2 1131 1941 0
0.657824 2 37 1941 1131 212
0.657826 2 37 1941 1131 212
0.667584 21 22 1408 80 0
0.671488 22 21 80 1408 512
0.672464 22 21 80 1408 512
0.674416 5 38 3854 119 0
0.691984 37 2 1131 1941 0
