Year	GDP
2013	13.75
2012	13.67
2011	13.44
2010	13.18
2009	12.87
2008	12.88
2007	13.33
2006	13.04
2005	12.74
2004	12.39
2003	12.04
2002	11.59
2001	11.37
2000	11.33
1999	11
1998	10.5
1997	10
1996	9.58
1995	9.18
1994	9
1993	8.64
1992	8.41
1991	8.06
1990	7.98
1989	7.94
1988	7.73
1987	7.45
1986	7.15
1985	6.95
1984	6.67
1983	6.32
1982	5.87
1981	5.95
1980	5.88
1979	5.88
1978	5.81
1977	5.45
1976	5.19
1975	4.97
1974	4.85
1973	4.95
1972	4.75
1971	4.44
1970	4.25
1969	4.26
1968	4.17
1967	3.98
1966	3.88
1965	3.72
1964	3.43
1963	3.26
1962	3.1
1961	2.98
1960	2.8
1959	2.78
1958	2.65
1957	2.59
1956	2.58
1955	2.54
1954	2.38
1953	2.31
1952	2.31
1951	2.19
1950	2.08
