Run Time,Budget,Rating
91,1,PG
104,1,R
97,1.1,R
93,1.125,R
115,2.8,R
107,6.5,R
93,7,PG
114,7,R
101,10,PG
106,10,PG
117,12,R
134,13.9,R
106,15,PG
97,15,R
80,17.5,PG
114,18,PG
101,18,PG
103,18,PG
89,18.5,R
68,20,PG
94,20,PG
88,20,PG
83,20,PG
96,20,R
99,20,R
133,20,R
101,20,R
83,22,R
130,22,R
187,23,PG
99,25,PG
105,25,PG
98,25,PG
107,25,PG
145,25,PG
107,25,PG
105,25,R
129,25.5,R
111,26,R
97,27,PG
106,27,R
129,28,PG
81,28,PG
103,28.5,R
85,30,PG
101,30,PG
110,30,PG
97,30,PG
108,30,PG
77,30,PG
135,30,PG
109,30,R
109,30,R
123,30,R
87,32,PG
96,32,R
76,35,PG
105,35,PG
103,35,PG
113,35,PG
98,35,PG
113,35,R
119,39,PG
90,40,PG
103,40,PG
104,40,PG
126,40,R
113,40,R
116,40,R
121,42,R
136,45,PG
103,45,PG
90,45,PG
95,45,PG
103,45,PG
90,45,PG
95,50,PG
100,50,PG
111,50,PG
109,50,PG
133,50,R
126,50,R
133,54,PG
113,55,PG
93,55,PG
95,55,PG
97,56,PG
95,58,PG
80,60,PG
115,60,PG
100,60,PG
105,60,PG
102,60,PG
100,65,PG
113,70,R
115,72,R
150,75,PG
86,75,PG
122,75,R
108,75,R
164,75,R
89,80,PG
100,80,PG
119,80,PG
113,82,PG
145,85,PG
123,87.5,PG
144,88,PG
118,90,PG
86,100,PG
144,110,R
140,115,PG
136,120,PG
123,130,PG
116,132,PG
121,138,PG
140,150,PG
115,150,PG
157,150,PG
140,180,PG
